codigo,descricao,fonte,qtd_palavras,qtd_caracteres,qtd_palavras_longas,qtd_sinais_morfologicos,tem_sigla,tem_abreviacao,qtd_termos_decs,score,complexidade
A000,"Cólera devida a Vibrio Cholerae 01, biótipo Cholerae",CID-10,7,52,0,0,0,0,2,0.174,alta
A001,"Cólera devida a Vibrio Cholerae 01, biótipo El Tor",CID-10,8,50,0,0,0,0,2,0.179,alta
A009,Cólera não especificada,CID-10,3,23,1,0,0,0,1,0.082,baixa
A010,Febre tifóide,CID-10,2,13,0,0,0,0,1,0.077,baixa
A011,Febre paratifóide A,CID-10,3,19,0,0,0,0,1,0.082,baixa
A012,Febre paratifóide B,CID-10,3,19,0,0,0,0,1,0.082,baixa
A013,Febre paratifóide C,CID-10,3,19,0,0,0,0,1,0.082,baixa
A014,Febre paratifóide não especificada,CID-10,4,34,1,0,0,0,1,0.087,baixa
A020,Enterite por salmonela,CID-10,3,22,0,1,0,0,1,0.119,media
A021,Septicemia por salmonela,CID-10,3,24,0,1,0,0,1,0.119,media
A022,Infecções localizadas por salmonela,CID-10,4,35,0,0,0,0,1,0.087,baixa
A028,Outras infecções especificadas por salmonela,CID-10,5,44,1,0,0,0,1,0.092,baixa
A029,Infecção não especificada por salmonela,CID-10,5,39,1,0,0,0,1,0.092,baixa
A030,Shiguelose devida a Shigella Dysenteriae,CID-10,5,40,0,1,0,0,2,0.201,alta
A031,Shiguelose devida a Shigella Flexneri,CID-10,5,37,0,1,0,0,2,0.201,alta
A032,Shiguelose devida a Shigella Boydii,CID-10,5,35,0,1,0,0,2,0.201,alta
A033,Shiguelose devida a Shigella Sonnei,CID-10,5,35,0,1,0,0,2,0.201,alta
A038,Outras shigueloses,CID-10,2,18,0,1,0,0,0,0.043,baixa
A039,Shiguelose não especificada,CID-10,3,27,1,1,0,0,1,0.119,media
A040,Infecção por Escherichia Coli enteropatogênica,CID-10,5,46,1,0,0,0,2,0.163,media
A041,Infecção por Escherichia Coli enterotoxigênica,CID-10,5,46,1,0,0,0,2,0.163,media
A042,Infecção por Escherichia Coli enteroinvasiva,CID-10,5,44,1,0,0,0,2,0.163,media
A043,Infecção por Escherichia Coli enterohemorrágica,CID-10,5,47,1,1,0,0,2,0.201,alta
